"SUID","BRENDA ID","CAZY Name","Class","Description","EC","Family","Gene Name","Genus","GO Term","HMP Body Site","HMP Oxygen","InterPro (Domain)","InterPro (Family)","InterPro (Homologous Superfamily)","InterPro (Other)","KEGG ID","Kingdom","name","NCBI IDs","Order","Organism","P01 gDNA","PATRIC ID","PDB","PFAM","Phylum","selected","Sequence Length","Sequence Source","shared name","Species","STRING ID","Superkingdom","Swissprot Description","Taxonomy ID","UniProt Annotation Status"
"2350806","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","DFH04_07845","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A386YPN4","GI:1486619968|EMBL-CDS:AYF54617.1","Clostridiales","Clostridium novyi.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A386YPN4","Clostridium novyi","None","Bacteria","NA","1542","TrEMBL"
"2350807","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","Z957_00305","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A072YE58","GI:658097945|GI:746174211|EMBL-CDS:KEI10207.1|REFSEQ:WP_039234066.1","Clostridiales","Clostridium sp. K25.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A072YE58","Clostridium sp. K25","None","Bacteria","NA","1443109","TrEMBL"
"2350808","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","Z958_01285","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A072YR66","GI:658101805|GI:746161789|EMBL-CDS:KEI13883.1|REFSEQ:WP_039222192.1","Clostridiales","Clostridium novyi B str. NCTC 9691.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A072YR66","Clostridium novyi B str. NCTC 9691","None","Bacteria","NA","1443122","TrEMBL"
"2350809","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","Z961_07915","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0A0IQ86","GI:746168114|GI:699763731|EMBL-CDS:KGN02759.1|REFSEQ:WP_039228282.1","Clostridiales","Clostridium haemolyticum NCTC 8350.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A0A0IQ86","Clostridium haemolyticum NCTC 8350","None","Bacteria","NA","1443115","TrEMBL"
"2350810","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","AXF41_05045","Clostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1V2Y8U7","GI:1145141855|GI:746168114|EMBL-CDS:OOB76041.1","Clostridiales","Clostridium haemolyticum.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A1V2Y8U7","Clostridium haemolyticum","None","Bacteria","NA","84025","TrEMBL"
"2350811","None","None","Clostridia","Putative unsaturated glucuronyl hydrolase ","None","Clostridiaceae","CLG_B0747","Clostridium","0016787 hydrolase activity","Not Specified","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","C5VS03","GI:253561619|EMBL-CDS:EES91071.1","Clostridiales","Clostridium botulinum D str. 1873.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","C5VS03","Clostridium botulinum D str. 1873","592027.CLG_B0747","Bacteria","NA","592027","TrEMBL"
"2350812","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","DWX59_11605","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3E2WNF8","EMBL-CDS:RGC28105.1","Clostridiales","[Clostridium] aldenense.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A3E2WNF8","[Clostridium] aldenense","None","Bacteria","NA","358742","TrEMBL"
"2350813","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","DW690_18920","Dorea","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3E2Y350","EMBL-CDS:RGC58243.1","Clostridiales","Dorea longicatena.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A3E2Y350","Dorea longicatena","None","Bacteria","NA","88431","TrEMBL"
"2350814","None","None","Clostridia","Unsaturated glucuronyl hydrolase ","3.2.1.- {ECO:0000313|EMBL:EEQ60322.1}","NA","CBFG_04034","NA","0016798 hydrolase activity  acting on glycosyl bonds","Gastrointestinal tract","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","C5EQM8","GI:239520456|GI:495998376|EMBL-CDS:EEQ60322.1|REFSEQ:WP_008722955.1","Clostridiales","Clostridiales bacterium 1_7_47FAA.","True","None","None","PF07470","Firmicutes","false","396","BLASTHIT","C5EQM8","Clostridiales bacterium 1_7_47FAA","457421.CBFG_04034","Bacteria","NA","457421","TrEMBL"
"2350815","None","None","Clostridia","Glucuronyl hydrolase ","None","NA","DXC92_27620","NA","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3A6HBM2","EMBL-CDS:RJW33844.1","Clostridiales","Clostridiales bacterium TF09-2AC.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A3A6HBM2","Clostridiales bacterium TF09-2AC","None","Bacteria","NA","2302989","TrEMBL"
"2350816","None","None","Clostridia","Glucuronyl hydrolase ","None","Peptostreptococcaceae","CHL78_011760","Romboutsia","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A371J2G7","EMBL-CDS:RDY26867.1","Clostridiales","Romboutsia weinsteinii.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A371J2G7","Romboutsia weinsteinii","None","Bacteria","NA","2020949","TrEMBL"
"2350817","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","C7256_13170","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1I0CUG5","EMBL-CDS:PST32772.1|EMBL-CDS:SET23345.1","Clostridiales","[Clostridium] lavalense.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A1I0CUG5","[Clostridium] lavalense","None","Bacteria","NA","460384","TrEMBL"
"2350818","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","DWZ14_19775","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3E2VDB2","GI:769975960|EMBL-CDS:RGC08499.1|REFSEQ:WP_045091996.1","Clostridiales","[Clostridium] citroniae.","True","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A3E2VDB2","[Clostridium] citroniae","None","Bacteria","NA","358743","TrEMBL"
"2350819","None","None","Clostridia","Glycosyl hydrolase| family 88 ","3.2.1.- {ECO:0000313|EMBL:EEG54664.1}","Lachnospiraceae","CLOSTASPAR_03265","Lachnoclostridium","0016798 hydrolase activity  acting on glycosyl bonds","Gastrointestinal tract","Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","C0D1X6","GI:225044418|GI:494986471|EMBL-CDS:EEG54664.1|REFSEQ:WP_007712493.1","Clostridiales","[Clostridium] asparagiforme DSM 15981.","True","None","None","PF07470","Firmicutes","false","396","BLASTHIT","C0D1X6","[Clostridium] asparagiforme DSM 15981","None","Bacteria","NA","518636","TrEMBL"
"2350820","None","None","Clostridia","Unsaturated chondroitin disaccharide hydrolase ","3.2.1.180 {ECO:0000313|EMBL:KJJ73700.1}","Clostridiaceae","CLFS41_15850","Clostridium","0102212 unsaturated chondroitin disaccharide hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0F0CDW7","GI:769362714|EMBL-CDS:KJJ73700.1","Clostridiales","Clostridium sp. FS41.","False","fig|1609975.3.peg.1709","None","PF07470","Firmicutes","false","395","BLASTHIT","A0A0F0CDW7","Clostridium sp. FS41","None","Bacteria","NA","1609975","TrEMBL"
"2350821","None","None","Clostridia","Uncharacterized protein ","None","Lachnospiraceae","HMPREF9470_04392","Lachnoclostridium","0003824 catalytic activity","Gastrointestinal tract","Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0J9BU80","GI:891185247|EMBL-CDS:KMW16338.1","Clostridiales","[Clostridium] citroniae WAL-19142.","False","fig|742734.4.peg.4706","None","PF07470","Firmicutes","false","395","BLASTHIT","A0A0J9BU80","[Clostridium] citroniae WAL-19142","None","Bacteria","NA","742734","TrEMBL"
"2350822","None","None","Clostridia","Unsaturated glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:SCI41536.1}","Clostridiaceae","SAMEA3545303_04594","Clostridium","0016798 hydrolase activity  acting on glycosyl bonds","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1C5Y2P5","EMBL-CDS:SCI41536.1","Clostridiales","uncultured Clostridium sp.","False","None","None","PF07470","Firmicutes","false","395","BLASTHIT","A0A1C5Y2P5","uncultured Clostridium sp.","None","Bacteria","NA","59620","TrEMBL"
"2350823","None","None","Clostridia","Unsaturated chondroitin disaccharide hydrolase ","None","Lachnospiraceae","H171_2417","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A2M8Z625","EMBL-CDS:PJJ28895.1","Clostridiales","[Clostridium] celerecrescens 18A.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A2M8Z625","[Clostridium] celerecrescens 18A","None","Bacteria","NA","1286362","TrEMBL"
"2350824","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","A4V08_28690","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","lacy:A4V08_28690","NA","A0A1C7GAE3","GI:1045264351|GI:1045867684|EMBL-CDS:ANU49215.1|REFSEQ:WP_065550795.1","Clostridiales","Lachnoclostridium sp. YL32.","False","None","None","PF07470","Firmicutes","false","401","BLASTHIT","A0A1C7GAE3","Lachnoclostridium sp. YL32","None","Bacteria","NA","1834196","TrEMBL"
"2350825","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","ADH76_26565","Lachnoclostridium","0016787 hydrolase activity","Gastrointestinal tract","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A227LBW7","GI:1217069407|GI:1045867684|EMBL-CDS:OXE64446.1|REFSEQ:WP_065550795.1","Clostridiales","[Clostridium] clostridioforme.","False","None","None","PF07470","Firmicutes","false","401","BLASTHIT","A0A227LBW7","[Clostridium] clostridioforme","None","Bacteria","NA","1531","TrEMBL"
"2350826","None","None","Clostridia","Uncharacterized protein ","None","Lachnospiraceae","HMPREF9469_05437","Lachnoclostridium","0003824 catalytic activity","Gastrointestinal tract","Obligate anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","G5HS75","GI:354810970|EMBL-CDS:EHE95606.1","Clostridiales","[Clostridium] citroniae WAL-17108.","True","fig|742733.3.peg.5578","None","PF07470","Firmicutes","false","395","BLASTHIT","G5HS75","[Clostridium] citroniae WAL-17108","None","Bacteria","NA","742733","TrEMBL"
"2350827","None","None","Clostridia","Glucuronyl hydrolase ","None","Clostridiaceae","DWZ21_19555","Hungatella","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3E2UI07","GI:488637259|EMBL-CDS:RGB95845.1|REFSEQ:WP_002573917.1","Clostridiales","Hungatella hathewayi.","False","None","None","PF07470","Firmicutes","false","401","BLASTHIT","A0A3E2UI07","Hungatella hathewayi","None","Bacteria","NA","154046","TrEMBL"
"2350828","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","HMPREF1085_00260","Lachnoclostridium","0016787 hydrolase activity","Not Specified","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","R0AMG5","GI:488637259|GI:480710861|EMBL-CDS:ENZ53306.1|REFSEQ:WP_002573917.1","Clostridiales","[Clostridium] bolteae 90A9.","False","fig|997894.4.peg.277","None","PF07470","Firmicutes","false","401","BLASTHIT","R0AMG5","[Clostridium] bolteae 90A9","None","Bacteria","NA","997894","TrEMBL"
"2350829","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","HMPREF1082_01529","Lachnoclostridium","0016787 hydrolase activity","Not Specified","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","N9YTJ0","GI:488661117|GI:480671870|EMBL-CDS:ENZ15363.1|REFSEQ:WP_002590026.1","Clostridiales","[Clostridium] clostridioforme 90A7.","False","fig|999407.4.peg.1604","None","PF07470","Firmicutes","false","401","BLASTHIT","N9YTJ0","[Clostridium] clostridioforme 90A7","None","Bacteria","NA","999407","TrEMBL"
"2350830","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","HMPREF1097_00923","Lachnoclostridium","0016787 hydrolase activity","Not Specified","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","N9ZTL9","GI:480700493|GI:488634606|EMBL-CDS:ENZ43190.1|REFSEQ:WP_002571275.1","Clostridiales","[Clostridium] bolteae 90B8.","False","fig|997897.5.peg.987","None","PF07470","Firmicutes","false","401","BLASTHIT","N9ZTL9","[Clostridium] bolteae 90B8","None","Bacteria","NA","997897","TrEMBL"
"2350831","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","B5G27_08010","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1Y3TDM0","GI:1198446973|EMBL-CDS:OUN34664.1","Clostridiales","Lachnoclostridium sp. An76.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A1Y3TDM0","Lachnoclostridium sp. An76","None","Bacteria","NA","1965654","TrEMBL"
"2350832","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","DXC96_11775","Lachnoclostridium","0016787 hydrolase activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3E4P325","EMBL-CDS:RGK73825.1","Clostridiales","[Clostridium] bolteae.","False","None","None","PF07470","Firmicutes","false","401","BLASTHIT","A0A3E4P325","[Clostridium] bolteae","None","Bacteria","NA","208479","TrEMBL"
"2350833","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","HMPREF1090_01348","Lachnoclostridium","0016787 hydrolase activity","Not Specified","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0E2HE07","GI:480674898|GI:488647759|EMBL-CDS:ENZ18305.1|REFSEQ:WP_002584385.1","Clostridiales","[Clostridium] clostridioforme 90A8.","False","fig|999408.3.peg.1451","None","PF07470","Firmicutes","false","401","BLASTHIT","A0A0E2HE07","[Clostridium] clostridioforme 90A8","None","Bacteria","NA","999408","TrEMBL"
"2350834","None","GH88","Clostridia","Uncharacterized protein ","None","Lachnospiraceae","CLOBOL_05098","Lachnoclostridium","0003824 catalytic activity","Gastrointestinal tract","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A8RYD9","GI:158436789|GI:488632859|EMBL-CDS:EDP14556.1|REFSEQ:WP_002569543.1","Clostridiales","Clostridium bolteae  (strain ATCC BAA-613 / WAL 16351)","True","None","None","PF07470","Firmicutes","false","401","BLASTHIT","A8RYD9","[Clostridium] bolteae ATCC BAA-613","411902.CLOBOL_05098","Bacteria","NA","411902","TrEMBL"
"2350835","None","None","Clostridia","Glucuronyl hydrolase ","None","Lachnospiraceae","HMPREF1083_04710","Lachnoclostridium","0016787 hydrolase activity","Not Specified","Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","R0B438","GI:488647759|GI:480760226|EMBL-CDS:ENZ59165.1|REFSEQ:WP_002584385.1","Clostridiales","[Clostridium] clostridioforme 90A6.","False","fig|999406.3.peg.5104","None","PF07470","Firmicutes","false","401","BLASTHIT","R0B438","[Clostridium] clostridioforme 90A6","None","Bacteria","NA","999406","TrEMBL"
"2350836","None","None","Clostridia","Uncharacterized protein ","None","Clostridiaceae","BN688_03222","Clostridium","0003824 catalytic activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","R7PIR9","EMBL-CDS:CDF24755.1","Clostridiales","Clostridium clostridioforme CAG:511.","False","None","None","PF07470","Firmicutes","false","401","BLASTHIT","R7PIR9","Clostridium clostridioforme CAG:511","None","Bacteria","NA","1263066","TrEMBL"
"2350837","None","None","Erysipelotrichia","Glucuronyl hydrolase ","None","Erysipelotrichaceae","EEY85_02750","Erysipelothrix","None","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3G4WAS9","GI:1012289604|GI:503619107|GI:1063810551|GI:1511893825|GI:1402108645|EMBL-CDS:AYV34274.1","Erysipelotrichales","Erysipelothrix rhusiopathiae.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A3G4WAS9","Erysipelothrix rhusiopathiae","None","Bacteria","NA","1648","TrEMBL"
"2350838","None","None","Erysipelotrichia","Glucuronyl hydrolase ","None","Erysipelotrichaceae","EF876_01305","Erysipelothrix","None","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A3N0I4V0","GI:489871550|EMBL-CDS:RNM31918.1","Erysipelotrichales","Erysipelothrix rhusiopathiae.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","A0A3N0I4V0","Erysipelothrix rhusiopathiae","None","Bacteria","NA","1648","TrEMBL"
"2350839","None","None","Erysipelotrichia","Glycosyl hydrolase| family 88 ","3.2.1.- {ECO:0000313|EMBL:EFY09044.1}","Erysipelotrichaceae","HMPREF0357_11151","Erysipelothrix","0016798 hydrolase activity  acting on glycosyl bonds","Skin","Aerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","E7FVX4","GI:322463850|GI:489871550|EMBL-CDS:EFY09044.1|REFSEQ:WP_003775090.1","Erysipelotrichales","Erysipelothrix rhusiopathiae ATCC 19414.","False","None","None","PF07470","Firmicutes","false","398","BLASTHIT","E7FVX4","Erysipelothrix rhusiopathiae ATCC 19414","None","Bacteria","NA","525280","TrEMBL"
"2350840","None","None","Bacilli","Glucuronyl hydrolase ","None","Streptococcaceae","SITYG_16290","Streptococcus","0016787 hydrolase activity","Airways|Skin|Oral","Anaerobe,Not Specified","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A1L7MWV6","GI:1109662585|EMBL-CDS:BAW17608.1","Lactobacillales","Streptococcus intermedius.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A1L7MWV6","Streptococcus intermedius","None","Bacteria","NA","1338","TrEMBL"
"2350841","None","None","Bacilli","Uncharacterized protein ","None","Streptococcaceae","HMPREF1654_01540","Streptococcus","0003824 catalytic activity","None","None","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A0E2J5B0","GI:489166402|GI:514207878|GI:383846283|EMBL-CDS:EPH03680.1|REFSEQ:WP_003076002.1","Lactobacillales","Streptococcus intermedius SK54 = ATCC 27335.","False","fig|1316583.3.peg.1526","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A0E2J5B0","Streptococcus intermedius SK54 = ATCC 27335","None","Bacteria","NA","1095731","TrEMBL"
"2350842","None","None","Bacilli","Glucuronyl hydrolase ","3.2.1.179 {ECO:0000313|EMBL:SUN41162.1}","Streptococcaceae","NCTC11325_01563","Streptococcus","0016798 hydrolase activity  acting on glycosyl bonds","Airways|Oral","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","A0A380JKL9","GI:739712139|EMBL-CDS:SUN41162.1|REFSEQ:WP_037565960.1","Lactobacillales","Streptococcus constellatus.","False","None","None","PF07470","Firmicutes","false","396","BLASTHIT","A0A380JKL9","Streptococcus constellatus","None","Bacteria","NA","76860","TrEMBL"
"2350843","None","None","Bacilli","Uncharacterized protein ","None","Streptococcaceae","HMPREF9682_01295","Streptococcus","0003824 catalytic activity","Oral","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","None","NA","G6A5U8","GI:355364727|GI:489160963|EMBL-CDS:EHG12455.1|REFSEQ:WP_003070606.1","Lactobacillales","Streptococcus intermedius F0395.","False","fig|857292.4.peg.1329","None","PF07470","Firmicutes","false","396","BLASTHIT","G6A5U8","Streptococcus intermedius F0395","None","Bacteria","NA","857292","TrEMBL"
"2350844","None","None","Bacilli","Glucuronyl hydrolase ","3.2.1.- {ECO:0000313|EMBL:AGU76891.1}","Streptococcaceae","SIR_1540","Streptococcus","0016798 hydrolase activity  acting on glycosyl bonds","Airways","Anaerobe","None","IPR010905","IPR008928|IPR012341","None","sib:SIR_1540","NA","T1ZGP0","GI:489164728|GI:537629617|EMBL-CDS:AGU76891.1|REFSEQ:WP_003074342.1","Lactobacillales","Streptococcus intermedius B196.","False","fig|862967.3.peg.1556","None","PF07470","Firmicutes","false","396","BLASTHIT","T1ZGP0","Streptococcus intermedius B196","None","Bacteria","NA","862967","TrEMBL"
